00:00:00.000;The following is a conversation with Michio Kaku.
00:00:02.800;He's a theoretical physicist, futurist,
00:00:05.120;and professor at the City College of New York.
00:00:08.320;He's the author of many fascinating books
00:00:10.760;that explore the nature of our reality
00:00:12.840;and the future of our civilization.
00:00:15.520;They include Einstein's Cosmos, Physics of the Impossible,
00:00:19.200;Future of the Mind, Parallel Worlds,
00:00:21.600;and his latest, The Future of Humanity,
00:00:24.240;Terraforming Mars, Interstellar Travel,
00:00:26.640;Immortality, and Our Destiny Beyond Earth.
00:00:29.960;I think it's beautiful and important
00:00:32.960;when a scientific mind can fearlessly explore
00:00:35.780;through conversation subjects
00:00:37.600;just outside of our understanding.
00:00:40.220;That, to me, is where artificial intelligence is today,
00:00:43.440;just outside of our understanding,
00:00:45.680;a place we have to reach for
00:00:47.480;if we're to uncover the mysteries of the human mind
00:00:50.160;and build human-level and superhuman-level AI systems
00:00:53.900;that transform our world for the better.
00:00:56.660;This is the Artificial Intelligence Podcast.
00:00:59.280;If you enjoy it, subscribe on YouTube,
00:01:01.640;give it five stars on iTunes, support it on Patreon,
00:01:04.680;or simply connect with me on Twitter,
00:01:06.680;Alex Friedman, spelled F-R-I-D-M-A-N.
00:01:09.960;And now, here's my conversation with Michio Kaku.
00:01:14.720;You've mentioned that we just might make contact
00:01:17.420;with aliens, or at least hear from them,
00:01:19.660;within this century.
00:01:21.780;Can you elaborate on your intuition behind that optimism?
00:01:25.920;Well, this is pure speculation, of course.
00:01:28.200;Of course.
00:01:29.800;I mean, given the fact that we've already identified
00:01:31.220;4,000 exoplanets orbiting other stars,
00:01:34.720;and we have a census of the Milky Way galaxy
00:01:37.540;for the first time,
00:01:39.160;we know that on average, every single star, on average,
00:01:43.540;has a planet going around it,
00:01:45.620;and about one-fifth or so of them
00:01:47.700;have Earth-sized planets going around them.
00:01:51.220;So just do the math.
00:01:52.960;We're talking about, out of 100 billion stars
00:01:56.140;in the Milky Way galaxy,
00:01:58.160;we're talking about billions
00:01:59.840;of potential Earth-sized planets.
00:02:02.920;And to believe that we're the only one
00:02:05.760;is, I think, rather ridiculous, given the odds.
00:02:09.160;And how many galaxies are there?
00:02:11.600;Within sight of the Hubble Space Telescope,
00:02:14.560;there are about 100 billion galaxies.
00:02:17.880;So do the math.
00:02:19.680;How many stars are there in the visible universe?
00:02:22.500;100 billion galaxies times 100 billion stars per galaxy.
00:02:29.080;We're talking about a number beyond human imagination.
00:02:33.760;And to believe that we're the only ones,
00:02:35.520;I think, is rather ridiculous.
00:02:38.240;So you've talked about different types of,
00:02:42.200;type 0, 1, 2, 3, 4, and 5, even,
00:02:44.840;of the Kardashian scale
00:02:47.200;of the different kind of civilizations.
00:02:50.440;What do you think it takes,
00:02:52.800;if it is indeed a ridiculous notion
00:02:54.640;that we're alone in the universe,
00:02:56.260;what do you think it takes to reach out,
00:02:58.780;first to reach out through communication and connect?
00:03:02.700;Well, first of all, we have to understand
00:03:04.380;the level of sophistication of an alien life form
00:03:08.780;if we make contact with them.
00:03:10.540;I think in this century, we'll probably pick up signals,
00:03:14.220;signals from an extraterrestrial civilization.
00:03:17.440;We'll pick up their I Love Lucy
00:03:19.300;and their Leave it to Beaver,
00:03:21.300;just ordinary day-to-day transmissions that they emit.
00:03:26.040;The first thing we want to do is to,
00:03:27.840;A, decipher their language, of course,
00:03:30.280;but B, figure out at what level
00:03:33.380;they are advanced on the Kardashev scale.
00:03:37.120;I'm a physicist.
00:03:38.600;We rank things by two parameters,
00:03:41.040;energy and information.
00:03:43.680;That's how we rank black holes.
00:03:45.640;That's how we rank stars.
00:03:47.360;That's how we rank civilizations in outer space.
00:03:50.640;So a type 1 civilization is capable
00:03:54.980;of harnessing planetary power.
00:03:57.580;They control the weather, for example,
00:04:00.020;earthquakes, volcanoes.
00:04:01.320;They can modify the course of geological events,
00:04:04.620;sort of like Flash Gordon or Buck Rogers.
00:04:08.440;Type 2 would be stellar.
00:04:12.280;They play with stars, entire stars.
00:04:15.660;They use the entire energy output of a star,
00:04:18.460;sort of like Star Trek.
00:04:20.600;The Federation of Planets have colonized the nearby stars.
00:04:25.420;So a type 2 would be somewhat similar to Star Trek.
00:04:29.100;Type 3 would be galactic.
00:04:30.700;They roam the galactic space lanes.
00:04:33.860;And type 3 would be like Star Wars,
00:04:37.740;a galactic civilization.
00:04:39.920;Now, one day I was giving this talk in London
00:04:42.380;at the planetarium there,
00:04:43.940;and the little boy comes up to me and he says,
00:04:46.040;"'Professor, you're wrong.
00:04:48.740;"'You're wrong.
00:04:49.580;"'There's type 4.'"
00:04:51.060;And I told him,
00:04:51.960;look, kid,
00:04:53.400;there are planets, stars, and galaxies.
00:04:57.040;That's it, folks.
00:04:58.760;And he kept persisting and saying,
